author_id,author_name,author_url
3471,বঙ্গবন্ধু শেখ মুজিবুর রহমান,https://www.rokomari.com/book/author/3471
85922,মহিউদ্দিন মোহাম্মদ,https://www.rokomari.com/book/author/85922
120004,ডা. এস আর খান,https://www.rokomari.com/book/author/120004
76371,মোঃ মতিউর রহমান,https://www.rokomari.com/book/author/76371
11256,ড. ইউসুফ আল কারজাভি,https://www.rokomari.com/book/author/11256
13861,ড. মোঃ শাহনেওয়াজ হোসেন,https://www.rokomari.com/book/author/13861
2546,শীর্ষেন্দু মুখোপাধ্যায়,https://www.rokomari.com/book/author/2546
23747,নেপোলিয়ন হিল,https://www.rokomari.com/book/author/23747
340,ড. তারেক শামসুর রেহমান,https://www.rokomari.com/book/author/340
4881,মাহবুবুর রহমান (আইসিটি),https://www.rokomari.com/book/author/4881
82899,রাহাত খান,https://www.rokomari.com/book/author/82899
68787,মোঃ খাইরুল আলম,https://www.rokomari.com/book/author/68787
30432,সাইয়েদ আবুল আলা মওদূদী,https://www.rokomari.com/book/author/30432
81126,মো. নুমেরি সাত্তার অপার,https://www.rokomari.com/book/author/81126
13393,মাওলানা জালাল উদ্দিন রূমী (রহঃ),https://www.rokomari.com/book/author/13393
30632,রবার্ট টি. কিয়োসাকি,https://www.rokomari.com/book/author/30632
78471,হাসান জামান,https://www.rokomari.com/book/author/78471
20751,ওরাকল সম্পাদনা পর্ষদ,https://www.rokomari.com/book/author/20751
975,Test-HA,https://www.rokomari.com/book/author/975
10700,মুহাম্মাদ আতীক উল্লাহ,https://www.rokomari.com/book/author/10700
80348,মাওলানা ইসমাইল রেহান,https://www.rokomari.com/book/author/80348
5184,কাজী আনোয়ার হোসেন,https://www.rokomari.com/book/author/5184
1224,বঙ্কিমচন্দ্র চট্টোপাধ্যায়,https://www.rokomari.com/book/author/1224
2562,উইলিয়াম শেক্সপীয়ার,https://www.rokomari.com/book/author/2562
40707,নিক পিরোগ,https://www.rokomari.com/book/author/40707
13928,মাওলানা যুলফিকার আহমদ নকশবন্দী,https://www.rokomari.com/book/author/13928
15574,মুযাফফর বিন মুহসিন,https://www.rokomari.com/book/author/15574
13123,ইমাম মুহিউদ্দীন ইয়াহইয়া আন-নববী (রহ.),https://www.rokomari.com/book/author/13123
2559,জে. কে. রাওলিং,https://www.rokomari.com/book/author/2559
3031,মুনির হাসান,https://www.rokomari.com/book/author/3031
78189,খন্দকার আল-মামুন রেজা,https://www.rokomari.com/book/author/78189
92203,নাবিলা ইষ্ক,https://www.rokomari.com/book/author/92203
31499,নাজিম উদ দৌলা,https://www.rokomari.com/book/author/31499
92852,নুসরাত সুলতানা সেঁজুতি,https://www.rokomari.com/book/author/92852
23786,স্যার আর্থার কোনান ডয়েল,https://www.rokomari.com/book/author/23786
41205,ওমর আল জাবির,https://www.rokomari.com/book/author/41205
11689,নসীম হিজাযী,https://www.rokomari.com/book/author/11689
76197,রাতুল খান,https://www.rokomari.com/book/author/76197
5278,আকবর আলি খান,https://www.rokomari.com/book/author/5278
22595,হারুকি মুরাকামি,https://www.rokomari.com/book/author/22595
54231,মোঃ নাঈম হোসেন,https://www.rokomari.com/book/author/54231
87113,ওয়াসিক বিল্লাহ আসিফ,https://www.rokomari.com/book/author/87113
90164,দি রয়েল সায়েন্টিফিক পাবলিকেশন্স,https://www.rokomari.com/book/author/90164
68583,ফরিদ আহমেদ,https://www.rokomari.com/book/author/68583
2232,স্টিফেন হকিং,https://www.rokomari.com/book/author/2232
45008,ড. মোহাম্মদ মানজুরে ইলাহী,https://www.rokomari.com/book/author/45008
63,আল মাহমুদ,https://www.rokomari.com/book/author/63
69734,শাইখ আব্দুল মালিক আল কাসিম,https://www.rokomari.com/book/author/69734
90532,ইমরান হোসাইন আদিব,https://www.rokomari.com/book/author/90532
57538,মিরাজ রহমান,https://www.rokomari.com/book/author/57538
77837,প্রিসেপটর্স পাবলিকেশন্স,https://www.rokomari.com/book/author/77837
80936,ড. আমিনুল ইসলাম,https://www.rokomari.com/book/author/80936
84661,শাইখ ড. তাওফিক চৌধুরি,https://www.rokomari.com/book/author/84661
86393,মোহাম্মদ মিরাজ মিয়া,https://www.rokomari.com/book/author/86393
83084,মাইদুল ইসলাম প্রধান (মুকুল),https://www.rokomari.com/book/author/83084
7531,ড. মরিস বুকাইলি,https://www.rokomari.com/book/author/7531
53676,আরিফুল ইসলাম,https://www.rokomari.com/book/author/53676
34499,মুহিব খান,https://www.rokomari.com/book/author/34499
25,ইমদাদুল হক মিলন,https://www.rokomari.com/book/author/25
80983,জোবায়ের আল মাহমুদ,https://www.rokomari.com/book/author/80983
121516,সানজিদা বিনতে সফি,https://www.rokomari.com/book/author/121516
69955,ড. ইয়াসির ক্বাদি,https://www.rokomari.com/book/author/69955
78113,জেমস ক্লিয়ার,https://www.rokomari.com/book/author/78113
82519,উম্মে মাইসুন,https://www.rokomari.com/book/author/82519
60571,সাইফুল হোসেন,https://www.rokomari.com/book/author/60571
13947,ড: এ. পি. জে. আবদুল কালাম,https://www.rokomari.com/book/author/13947
63332,শাইখ আহমাদ মুসা জিবরিল,https://www.rokomari.com/book/author/63332
7199,মির্জা গালিব,https://www.rokomari.com/book/author/7199
74340,নেক্সাস পাবলিকেশন্স লিমিটেড,https://www.rokomari.com/book/author/74340
122818,শাহরোজ ফারদি,https://www.rokomari.com/book/author/122818
76880,মাহবুব নাহিদ,https://www.rokomari.com/book/author/76880
3183,জর্জ অরওয়েল,https://www.rokomari.com/book/author/3183
32037,মেজর মোঃ দেলোয়ার হোসেন (ডেল এইচ খান),https://www.rokomari.com/book/author/32037
12492,ইমাম ইবনু কায়্যিমিল জাওযিয়্যাহ (রহ.),https://www.rokomari.com/book/author/12492
41748,আবদুল্লাহ আল মাসউদ,https://www.rokomari.com/book/author/41748
40361,বাদল সৈয়দ,https://www.rokomari.com/book/author/40361
82788,মোঃ সহিদুল ইসলাম রাজন,https://www.rokomari.com/book/author/82788
73280,রিসেন্ট পাবলিকেশন এডিটরিয়াল বোর্ড,https://www.rokomari.com/book/author/73280
78827,ছায়ামঞ্চ পাবলিকেশন্স,https://www.rokomari.com/book/author/78827
70420,নাঈম হোসেন ফারুকী,https://www.rokomari.com/book/author/70420
6849,দি নেটওয়ার্ক রিসার্স এন্ড পাবলিকেশন্স,https://www.rokomari.com/book/author/6849
2496,আখতারুজ্জামান ইলিয়াস,https://www.rokomari.com/book/author/2496
72220,কাজী ম্যাক,https://www.rokomari.com/book/author/72220
11184,শাব্বির আহসান,https://www.rokomari.com/book/author/11184
70819,শরিফুল ইসলাম আলাল,https://www.rokomari.com/book/author/70819
53551,টেকনিক্যাল প্রকাশনী,https://www.rokomari.com/book/author/53551
59905,লস্ট মডেস্টি,https://www.rokomari.com/book/author/59905
126567,মম সাহা (বিষাদিনী),https://www.rokomari.com/book/author/126567
48529,মোহাম্মদ ফারিস,https://www.rokomari.com/book/author/48529
69911,তুর্জয় শাকিল,https://www.rokomari.com/book/author/69911
3285,জসীম উদদীন,https://www.rokomari.com/book/author/3285
40708,সালমান হক,https://www.rokomari.com/book/author/40708
8600,ফিওদোর দস্তয়েভস্কি,https://www.rokomari.com/book/author/8600
121380,ফাবিয়াহ্ মমো,https://www.rokomari.com/book/author/121380
83467,মফিজুল ইসলাম মিলন,https://www.rokomari.com/book/author/83467
32307,রাজীব হোসাইন সরকার,https://www.rokomari.com/book/author/32307
46612,সিহিন্তা শরীফা,https://www.rokomari.com/book/author/46612
14131,আগাথা ক্রিস্টি,https://www.rokomari.com/book/author/14131
31119,মোঃ কেতাব উদ্দীন,https://www.rokomari.com/book/author/31119
37772,ইমরান নযর হোসেন,https://www.rokomari.com/book/author/37772
79214,শায়খ মুফতি মুশতাকুন্নবী হাফিজাহুল্লাহ,https://www.rokomari.com/book/author/79214
30712,ড. মুহাম্মাদ ইবনে আবদুর রহমান আরিফী,https://www.rokomari.com/book/author/30712
2423,সাহাদত হোসেন খান,https://www.rokomari.com/book/author/2423
23843,হেনরি ফোর্ড,https://www.rokomari.com/book/author/23843
80315,আফিফা পারভীন,https://www.rokomari.com/book/author/80315
23740,ডা. জোসেফ মর্ফি,https://www.rokomari.com/book/author/23740
5405,হেলাল হাফিজ,https://www.rokomari.com/book/author/5405
14864,শরদিন্দু বন্দ্যোপাধ্যায়,https://www.rokomari.com/book/author/14864
13938,হেনরি রাইডার হ্যাগার্ড,https://www.rokomari.com/book/author/13938
66788,হেমিন সুনিম,https://www.rokomari.com/book/author/66788
125147,খালেদুর রহমান কাব্য,https://www.rokomari.com/book/author/125147
76002,সাদিয়া খান সুবাসিনী,https://www.rokomari.com/book/author/76002
31918,রাগিব হাসান,https://www.rokomari.com/book/author/31918
73846,তৃধা আনিকা,https://www.rokomari.com/book/author/73846
2871,সুকুমার রায়,https://www.rokomari.com/book/author/2871
85179,শায়খ মোখতার আহমাদ,https://www.rokomari.com/book/author/85179
661,আলবার্ট আইনস্টাইন,https://www.rokomari.com/book/author/661
2392,শাহাদুজ্জামান,https://www.rokomari.com/book/author/2392
425,সুকান্ত ভট্টাচার্য,https://www.rokomari.com/book/author/425
61248,রকিবুল হাসান,https://www.rokomari.com/book/author/61248
77962,বিজ্ঞানবিদ্যা টিম,https://www.rokomari.com/book/author/77962
11848,মুহাম্মদ যাইনুল আবিদীন,https://www.rokomari.com/book/author/11848
118282,হাসান ইথার,https://www.rokomari.com/book/author/118282
318,সেলিনা হোসেন,https://www.rokomari.com/book/author/318
79540,ড. মোহাম্মদ ইমাম হোসাইন,https://www.rokomari.com/book/author/79540
8013,মাওলানা মুহিউদ্দীন খান,https://www.rokomari.com/book/author/8013
6389,মহাজাতক,https://www.rokomari.com/book/author/6389
20368,ফ্রান্‌জ কাফকা,https://www.rokomari.com/book/author/20368
6997,শরীফুল হাসান,https://www.rokomari.com/book/author/6997
22710,ড. সরোজ কান্তি সিংহ হাজারী,https://www.rokomari.com/book/author/22710
39778,ওয়াসিকা নুযহাত,https://www.rokomari.com/book/author/39778
7879,মাসুদ শরীফ,https://www.rokomari.com/book/author/7879
5340,জুল ভার্ন,https://www.rokomari.com/book/author/5340
9398,এনায়েতুল্লাহ আল্‌তামাশ,https://www.rokomari.com/book/author/9398
5442,মাহমুদুর রহমান (সাংবাদিক),https://www.rokomari.com/book/author/5442
68375,মুফতি ইসমাঈল মেন্‌ক,https://www.rokomari.com/book/author/68375
60294,মাশাহেদ হাসান সীমান্ত,https://www.rokomari.com/book/author/60294
78135,ড. খালিদ আবু শাদি,https://www.rokomari.com/book/author/78135
6879,জিয়াউল হক,https://www.rokomari.com/book/author/6879
15240,চেতন ভগত,https://www.rokomari.com/book/author/15240
35283,সালাহউদ্দীন জাহাঙ্গীর,https://www.rokomari.com/book/author/35283
23302,কবির পাবলিকেশন্স,https://www.rokomari.com/book/author/23302
76309,ড. হানান লাশিন,https://www.rokomari.com/book/author/76309
116100,সাতোশি ইয়াগিসাওয়া,https://www.rokomari.com/book/author/116100
24814,ওবায়েদ হক,https://www.rokomari.com/book/author/24814
93960,শামিমা শ্রাবনী,https://www.rokomari.com/book/author/93960
77235,ফাহাম আব্দুস সালাম,https://www.rokomari.com/book/author/77235
12318,সায়ীদ উসমান,https://www.rokomari.com/book/author/12318
126148,ডা. নুসরাত জাহান দৃষ্টি,https://www.rokomari.com/book/author/126148
13579,ইয়াহইয়া ইউসুফ নদভী,https://www.rokomari.com/book/author/13579
13773,শাইখ সাঈদ ইবনে আলী ইবনে ওয়াহফি আলকাহতানী,https://www.rokomari.com/book/author/13773
